City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Ewing,NJ,The College Of New Jersey,PHL 275,Philosophy Of Law,PHIL 2000,Philosophy Elective,,,,The College Of New Jersey Course Catalog
Ewing,NJ,The College Of New Jersey,PHL 370,Special Topics In Philosophy,PHIL 2000,Philosophy Elective,,,,The College Of New Jersey Course Catalog
Albany,NY,The College Of Saint Rose,PHI 412,Analytic Philosophy,PHIL 2000,Philosophy Elective,,,,College Of Saint Rose Undergraduate Studies
Albany,NY,The College Of Saint Rose,RLS 102,Ethics And Values,PHIL 2000,Philosophy Elective,,,,College Of Saint Rose Undergraduate Studies
Tuscaloosa,AL,The University Of Alabama,PHL260,Mind And Nature,PHIL 2000,Philosophy Elective,,,,University Of Alabama Undergraduate
Austin,TX,The University Of Texas At Austin,PHL 304,Contemporary Moral Problems,PHIL 2000,Philosophy Elective,,,,University Of Texas At Austin General Information
Trenton,NJ,Thomas Edison State University,REL-407,Western Religions,PHIL 2000,Philosophy Elective,,,,Thomas Edison State University Undergraduate
Norfolk,VA,Tidewater Community College,PHI 220,Ethics,PHIL 2000,Philosophy Elective,,,,Tidewater Community College
Norfolk,VA,Tidewater Community College,REL 230,Religions Of The World,PHIL 2000,Philosophy Elective,,,,Tidewater Community College
Schenectady,NY,Union College,EGL 226,Victorian Detective Fiction,PHIL 2000,Philosophy Elective,,,,Union College
Schenectady,NY,Union College,EGL-267,Philosophical Fiction,PHIL 2000,Philosophy Elective,,,,Union College
Schenectady,NY,Union College,PHL 231,Symbolic Logic,PHIL 2000,Philosophy Elective,,,,Union College
Annapolis,MD,United States Naval Academy,NE203,Ethics And Moral Reasoning,PHIL 2000,Philosophy Elective,,,,United States Naval Academy Course Descriptions
Berkeley,CA,University Of California-Berkeley,PHILOS 12A,Introduction To Logic,PHIL 2000,Philosophy Elective,,,,University Of California Berkeley
Irvine,CA,University Of California-Irvine,PHILOS 5,Contemporary Moral Problems,PHIL 2000,Philosophy Elective,,,,University Of California Irvine
Storrs,CT,University Of Connecticut,PHIL 104,Philosophy And Social Ethics,PHIL 2000,Philosophy Elective,,,,University Of Connecticut Undergraduate
Groton,CT,University Of Connecticut-Avery Point,PHIL 104,Philosophy And Social Ethics,PHIL 2000,Philosophy Elective,,,,University Of Connecticut Undergraduate
Hartford,CT,University Of Connecticut-Hartford Campus,PHIL 104,Philosophy And Social Ethics,PHIL 2000,Philosophy Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,PHIL 104,Philosophy And Social Ethics,PHIL 2000,Philosophy Elective,,,,University Of Connecticut Undergraduate
Waterbury,CT,University Of Connecticut-Waterbury Campus,PHIL 104,Philosophy And Social Ethics,PHIL 2000,Philosophy Elective,,,,University Of Connecticut Undergraduate
Detroit,MI,University Of Detroit Mercy,RELS 2020,Asian Religions,PHIL 2000,Philosophy Elective,,,,University Of Detroit Mercy Undergraduate
Gainesville,FL,University Of Florida,PHI 2630,Contemporary Moral Issues,PHIL 2000,Philosophy Elective,,,,University Of Florida Undergraduate
Gainesville,FL,University Of Florida-Online,PHI 2630,Contemporary Moral Issues,PHIL 2000,Philosophy Elective,,,,University Of Florida Undergraduate
Honolulu,HI,University Of Hawai'i At Manoa,REL 151,Religion And The Meaning Of Existence,PHIL 2000,Philosophy Elective,,,,University Of Hawaii Manoa
Amherst,MA,University Of Massachusetts-Amherst,PHIL 160,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,University Of Massachusetts Amherst Course Descriptions
Amherst,MA,University Of Massachusetts-Amherst,PHIL 164H,Medical Ethics,PHIL 2000,Philosophy Elective,,,,University Of Massachusetts Amherst Course Descriptions
Ann Arbor,MI,University Of Michigan-Ann Arbor,PHIL 250,Changing The World,PHIL 2000,Philosophy Elective,,,,"University Of Michigan College Of Literature, Science, And The Arts Fall Courses"
Durham,NH,University Of New Hampshire-Main Campus,PHIL 431,Business Ethics,PHIL 2000,Philosophy Elective,,,,University Of New Hampshire Undergraduate
Jacksonville,FL,University Of North Florida,PHI2630,(Gw) Critical Thinking: Ethical Issues,PHIL 2000,Philosophy Elective,,,,University Of North Florida
Phoenix,AZ,University Of Phoenix-Arizona,PHL 251,Critical Thinking,PHIL 2000,Philosophy Elective,,,,University Of Phoenix - Phoenix Campus
Rochester,NY,University Of Rochester,PHL 141,Aesthetics,PHIL 2000,Philosophy Elective,,,,University Of Rochester Undergraduate Studies
Rochester,NY,University Of Rochester,PHL 256,Darwin & Religion,PHIL 2000,Philosophy Elective,,,,University Of Rochester Fall Course Descriptions
San Francisco,CA,University Of San Francisco,PHIL 240,Ethics,PHIL 2000,Philosophy Elective,,,,University Of San Francisco
Columbia,SC,University Of South Carolina Columbia,PHIL 211,Contemporary Moral Issues,PHIL 2000,Philosophy Elective,,,,University Of South Carolina At Columbia Undergraduate
Columbia,SC,University Of South Carolina Columbia,PHIL 213,Communicating Moral Issues,PHIL 2000,Philosophy Elective,,,,University Of South Carolina At Columbia Undergraduate
Orlando,FL,Valencia College,PHI 2600,Ethics And Critical Thinking,PHIL 2000,Philosophy Elective,,,,Valencia College
Villanova,PA,Villanova University,ETH 2050,The Good Life:Eth & Cont Prob,PHIL 2000,Philosophy Elective,,,,Villanova University
Raleigh,NC,Wake Technical Community College,PHI-240,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,Wake Technical Community College
Saratoga,CA,West Valley College,PHIL 003,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,West Valley College
Norton,MA,Wheaton College,PHIL 121,Citizen And Society,PHIL 2000,Philosophy Elective,,,,Wheaton College
Wilkes-Barre,PA,Wilkes University,PHL-298,Topics,PHIL 2000,Philosophy Elective,,,,Wilkes University Undergraduate
New Orleans,LA,Xavier University Of Louisiana,PHIL 2040,Logic,PHIL 2000,Philosophy Elective,,,,Xavier University Of Louisiana
